date,borough,complaints_total,unique_complaints,topk_ABANDONED_VEHICLE_cnt,topk_BLOCKED_DRIVEWAY_cnt,topk_HEAT_HOT_WATER_cnt,topk_ILLEGAL_PARKING_cnt,topk_NOISE___RESIDENTIAL_cnt,topk_NOISE___STREET_SIDEWALK_cnt,topk_OTHER_cnt,topk_STREET_CONDITION_cnt,topk_UNSANITARY_CONDITION_cnt,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,census_income_borough_median,census_population_borough_sum,airbnb_listing_count,airbnb_price_mean,airbnb_price_median,airbnb_rating_mean,airbnb_total_reviews,airbnb_entire_home_pct,airbnb_per_1000_people_borough,day_of_week,is_weekend,month,temp_mean_lag1,temp_mean_ma7,precipitation_sum_lag1,precipitation_sum_ma7,complaints_total_ma7,log_complaints_total,event_day
2024-02-19,BRONX,1638,1638,14,74,500,159,197,13,585,13,83,-0.4041666666666667,4.1,-4.1,0.0,0.0,0.0,12.833333333333334,22.95833333333333,0.2916666666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,2,-1.8,-0.6071428571428571,0.0,4.828571428571428,1635.857142857143,7.40184157874383,0
2024-02-20,BRONX,1990,1990,49,73,616,162,154,15,773,46,102,-2.7291666666666665,2.3,-6.4,0.0,0.0,0.0,8.9125,17.154166666666665,5.375,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,2,-0.4041666666666667,-1.0982142857142858,0.0,0.8714285714285713,1685.7142857142858,7.596392304064196,0
2024-02-21,BRONX,1808,1808,30,58,510,181,183,15,698,30,103,-1.0541666666666667,4.6,-5.6,0.0,0.0,0.0,9.6125,16.983333333333334,65.79166666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,2,-2.7291666666666665,-0.9678571428571427,0.0,0.8714285714285713,1697.2857142857142,7.500529485395295,0
2024-02-22,BRONX,1702,1702,32,68,371,220,184,16,688,26,97,1.225,6.8,-5.1,0.4,0.4,0.0,10.4,19.625,71.29166666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,2,-1.0541666666666667,-0.6642857142857144,0.0,0.9,1668.2857142857142,7.440146680662688,0
2024-02-23,BRONX,1780,1780,30,60,293,189,188,30,841,38,111,4.466666666666667,8.2,1.4,3.0,3.0,0.0,7.8,14.641666666666666,99.875,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,2,1.225,-0.2059523809523809,0.4,1.3142857142857145,1682.7142857142858,7.484930283289661,0
2024-02-24,BRONX,1442,1442,19,81,329,182,271,30,472,10,48,2.0375,5.6,-3.9,0.0,0.0,0.0,17.1375,29.75,47.708333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,2,4.466666666666667,0.2488095238095237,3.0,0.4857142857142857,1711.142857142857,7.274479558773871,0
2024-02-25,BRONX,1529,1529,14,64,482,197,284,28,410,5,45,-2.120833333333333,4.1,-7.3,0.0,0.0,0.0,9.045833333333333,18.445833333333333,11.541666666666666,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,2,2.0375,0.2029761904761904,0.0,0.4857142857142857,1698.428571428571,7.333023014386481,0
2024-02-26,BRONX,1928,1928,33,78,304,217,183,12,931,26,144,3.516666666666667,11.4,-2.2,2.9,0.5,1.6800000000000002,10.4875,19.28333333333333,68.58333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,2,-2.120833333333333,0.7630952380952382,0.0,0.9,1739.857142857143,7.564757012905729,0
2024-02-27,BRONX,1813,1813,31,66,297,216,170,17,835,36,145,8.025,13.9,-0.1,4.0,4.0,0.0,14.583333333333334,25.2,79.5,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,2,3.516666666666667,2.299404761904761,2.9,1.4714285714285715,1714.571428571429,7.503289630675082,0
2024-02-28,BRONX,1684,1684,29,65,263,224,135,12,784,37,135,13.466666666666669,17.1,6.7,15.6,15.6,0.0,22.60833333333333,38.96666666666667,100.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,2,8.025,4.373809523809524,4.0,3.7,1696.857142857143,7.429520842786462,0
2024-02-29,BRONX,1757,1757,35,67,434,220,151,18,705,41,86,0.65,4.9,-2.8,0.0,0.0,0.0,19.925,36.04583333333333,23.33333333333333,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,2,13.466666666666669,4.291666666666666,15.6,3.642857142857143,1704.7142857142858,7.471932078245122,0
2024-03-01,BRONX,1804,1804,37,77,380,230,190,35,726,22,107,0.9666666666666668,5.9,-4.4,0.0,0.0,0.0,10.645833333333334,20.125,37.833333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,3,0.65,3.791666666666667,0.0,3.2142857142857144,1708.142857142857,7.498315870766981,0
2024-03-02,BRONX,1414,1414,14,89,302,190,281,37,456,2,43,6.908333333333334,10.1,2.2,28.1,28.1,0.0,11.766666666666666,19.83333333333333,100.0,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,3,0.9666666666666668,4.4875,0.0,7.228571428571429,1704.142857142857,7.254884810077338,0
